word	zipf	freq
ich	6.00	5890279
sie	6.00	3806767
das	6.00	3122198
ist	6.00	3025610
du	6.00	2947020
nicht	6.00	2756783
die	6.00	2484854
es	6.00	2303025
und	6.00	2289891
der	6.00	1726001
wir	6.00	1721620
was	6.00	1696010
zu	6.00	1424706
er	6.00	1352161
ein	6.00	1315301
in	6.00	1231372
ja	6.00	1054114
mir	6.00	1019451
mit	6.00	1014541
wie	6.00	928920
den	6.00	920646
mich	6.00	893076
auf	6.00	881418
dass	6.00	879520
aber	6.00	854492
eine	6.00	839485
so	6.00	813903
hat	6.00	799017
hier	6.00	754243
haben	6.00	742327
für	6.00	735252
sind	6.00	727078
war	6.00	712337
von	6.00	706490
wenn	6.00	694462
dich	6.00	688780
ihr	6.00	655351
nein	6.00	641479
habe	6.00	636175
an	6.00	627600
bin	6.00	576589
noch	6.00	572486
nur	6.00	564245
da	6.00	564244
dir	6.00	554802
sich	6.00	533395
einen	6.00	532402
uns	6.00	523604
hast	6.00	511491
dem	6.00	465044
kann	6.00	461755
gut	6.00	452726
auch	6.00	449250
schon	6.00	442343
als	6.00	440490
sein	6.00	440142
mal	6.00	435631
jetzt	6.00	435411
ihn	6.00	435147
dann	6.00	429424
aus	6.00	425184
meine	6.00	420280
um	6.00	417759
im	6.00	403737
wird	6.00	394216
mein	6.00	384765
bist	6.00	381498
doch	6.00	381456
alles	6.00	366575
weiß	6.00	357869
keine	6.00	349315
oder	6.00	341214
nach	6.00	326208
s	6.00	309957
nichts	6.00	308672
man	6.00	300922
muss	6.00	295567
werden	6.00	294676
will	6.00	293445
ihnen	6.00	292370
geht	6.00	290919
wo	6.00	288363
etwas	6.00	286968
oh	6.00	284455
mehr	6.00	281301
bei	6.00	277087
also	6.00	276548
bitte	6.00	261548
immer	6.00	260238
hab	6.00	252697
warum	6.00	251177
vor	6.00	247840
los	6.00	242543
können	6.00	240905
wieder	6.00	240508
sagen	6.00	236702
machen	6.00	228412
danke	6.00	227937
sehr	6.00	226425
alle	6.00	224850
denn	6.00	224543
mann	6.00	222707
tun	6.00	219102
ihm	6.00	217025
zum	6.00	216201
gehen	6.00	213952
sehen	6.00	212948
vielleicht	6.00	212216
einem	6.00	210889
wer	6.00	210823
ihre	6.00	208915
diese	6.00	208607
euch	6.00	206931
einer	6.00	202097
komm	6.00	201117
über	6.00	196855
gibt	6.00	196771
okay	6.00	196683
wissen	6.00	192456
deine	6.00	191923
müssen	6.00	191257
soll	6.00	191100
werde	6.00	187290
nie	6.00	185925
wirklich	6.00	185166
hey	6.00	185011
kein	6.00	177553
viel	6.00	176767
weg	6.00	175124
würde	6.00	175047
tut	6.00	172752
am	6.00	170913
des	6.00	169182
einfach	6.00	168892
leben	6.00	167721
hatte	6.00	162793
zeit	6.00	160393
weil	6.00	159743
willst	6.00	159106
kommen	6.00	156754
dein	6.00	155913
heute	6.00	154162
kommt	6.00	153845
wollen	6.00	152595
damit	6.00	150635
ganz	5.99	149683
wäre	5.99	149557
wollte	5.99	148643
weißt	5.99	147614
ok	5.99	147191
sicher	5.98	145360
gesagt	5.98	144870
frau	5.98	143725
nun	5.98	143552
bis	5.97	142166
wurde	5.97	141236
leid	5.97	140641
na	5.97	140395
kannst	5.96	136795
macht	5.95	134768
dieser	5.95	134205
zurück	5.94	133326
lassen	5.94	131393
hallo	5.93	128561
meinen	5.93	128288
gott	5.92	127498
seine	5.92	126038
hätte	5.92	125345
zwei	5.91	122625
könnte	5.89	117870
genau	5.89	117667
waren	5.89	117474
zur	5.88	115474
lass	5.88	115316
klar	5.87	113688
morgen	5.87	112042
leute	5.86	109956
vater	5.86	109048
schön	5.85	106669
glaube	5.84	105941
mr.	5.84	105640
ab	5.84	104853
gerade	5.84	104130
tag	5.83	103559
gesehen	5.83	103106
reden	5.83	101992
wohl	5.82	100488
liebe	5.82	99301
sollte	5.81	98826
sagte	5.81	98657
unsere	5.81	98478
jemand	5.81	98283
geld	5.81	98052
durch	5.81	97587
ob	5.81	97001
keinen	5.80	96394
mutter	5.80	95349
raus	5.80	95012
gemacht	5.79	94261
paar	5.79	93818
mach	5.79	93345
passiert	5.79	93021
dachte	5.79	92867
besser	5.79	92556
musst	5.78	92429
wieso	5.78	92191
sir	5.78	92012
dieses	5.78	91148
selbst	5.77	90135
gehört	5.77	89459
möchte	5.77	89068
ohne	5.77	88934
hör	5.77	88336
her	5.76	87571
sag	5.76	87203
meiner	5.75	86264
anderen	5.75	86205
helfen	5.75	85664
nacht	5.75	85102
finden	5.74	83987
diesen	5.74	83932
gute	5.74	83835
wirst	5.74	83791
lange	5.74	82872
natürlich	5.74	82710
ach	5.73	82252
meinem	5.73	82233
gar	5.73	82082
ins	5.72	80529
sei	5.72	80433
dort	5.72	79951
weiter	5.72	79598
geben	5.72	78926
seit	5.71	78517
gleich	5.71	78080
sagt	5.71	78008
recht	5.71	77861
ihren	5.70	76796
richtig	5.70	76789
ordnung	5.70	76635
vom	5.70	76597
hören	5.70	76109
sieht	5.70	75968
davon	5.70	75947
dafür	5.70	75302
geh	5.69	74468
diesem	5.69	74234
wegen	5.69	74062
hause	5.68	73059
sollten	5.68	72777
mädchen	5.68	72685
hin	5.68	72272
sollen	5.67	71445
abend	5.67	71375
haus	5.67	70976
denke	5.67	70824
viele	5.67	70545
drei	5.66	69824
deinen	5.66	69621
freund	5.66	69586
guten	5.66	68866
unser	5.66	68722
warte	5.65	68407
machst	5.65	67926
menschen	5.65	67631
essen	5.65	67594
angst	5.65	67249
bleiben	5.65	67238
zusammen	5.64	66885
welt	5.64	66821
unter	5.64	66173
habt	5.64	66045
schnell	5.64	66011
andere	5.63	65229
tot	5.63	64995
getan	5.63	64404
darf	5.63	64161
erst	5.63	64092
rein	5.63	64028
stimmt	5.62	63896
nehmen	5.62	63773
kinder	5.62	63716
eines	5.62	63710
glauben	5.62	63577
bringen	5.62	63285
ganze	5.61	62461
genug	5.61	62381
scheiße	5.61	61982
brauchen	5.61	61791
gegen	5.61	61438
moment	5.61	61265
junge	5.60	60843
steht	5.60	60832
sonst	5.60	60478
musik	5.59	59500
arbeit	5.59	59309
seid	5.59	58799
ihrer	5.59	58510
fragen	5.59	58352
herr	5.58	58200
dabei	5.58	57923
heißt	5.58	57306
familie	5.58	57288
warten	5.57	56911
niemand	5.57	56907
sofort	5.57	56605
bevor	5.57	56210
jahre	5.57	56075
einmal	5.56	55398
problem	5.56	54783
sohn	5.55	54396
wann	5.55	54105
brauche	5.55	53799
fertig	5.55	53738
halt	5.55	53723
allein	5.55	53720
beim	5.55	53673
sprechen	5.55	53232
beide	5.54	53120
gefunden	5.54	53083
hatten	5.54	53008
sache	5.54	52830
hilfe	5.54	52679
verdammt	5.54	52499
ne	5.54	52438
jeder	5.54	52254
warst	5.54	52211
gern	5.54	52147
konnte	5.53	51818
darüber	5.53	51711
halten	5.53	51690
siehst	5.53	51444
verstehe	5.53	51294
jahren	5.53	51158
kam	5.53	51041
kind	5.53	50922
wusste	5.53	50878
wahr	5.52	50700
seinen	5.52	50311
dazu	5.52	50144
bruder	5.52	50137
daran	5.52	50081
ihrem	5.52	50046
denken	5.52	49912
könnten	5.52	49708
dank	5.51	49155
würden	5.51	49143
lieber	5.51	49123
fall	5.51	49042
deiner	5.51	48756
sehe	5.50	48293
egal	5.50	48287
kennen	5.50	48114
deinem	5.50	48010
vergessen	5.50	47889
frage	5.50	47512
mache	5.50	47510
komme	5.49	47282
sage	5.49	47197
mag	5.49	47150
sieh	5.49	47133
echt	5.49	46884
gib	5.49	46863
eigentlich	5.49	46744
jeden	5.49	46594
dad	5.49	46472
gab	5.48	46178
uhr	5.48	46117
stadt	5.48	45812
männer	5.48	45451
baby	5.48	45434
fahren	5.47	45060
namen	5.47	44998
bekommen	5.47	44852
kopf	5.47	44851
hi	5.47	44653
gehe	5.47	44502
kleine	5.47	44338
später	5.47	44320
glück	5.47	44295
letzte	5.46	44246
freunde	5.46	43913
n	5.46	43890
all	5.46	43808
darauf	5.45	43236
ende	5.45	43216
dr.	5.45	42899
bald	5.45	42834
töten	5.45	42735
dinge	5.45	42560
meinst	5.45	42522
toll	5.45	42438
eins	5.44	42157
minuten	5.44	42139
vielen	5.44	42047
bereit	5.44	41925
weit	5.44	41558
ahnung	5.44	41525
seiner	5.44	41478
bisschen	5.44	41471
tür	5.44	41457
auto	5.44	41372
jungs	5.43	40783
eure	5.43	40647
augen	5.43	40593
polizei	5.43	40572
stehen	5.43	40469
sterben	5.42	40334
hätten	5.42	40190
draußen	5.42	40075
kenne	5.42	39750
fast	5.42	39542
runter	5.41	39290
vorbei	5.41	38763
treffen	5.41	38758
gerne	5.41	38739
dran	5.41	38593
wurden	5.41	38564
arbeiten	5.40	38510
mom	5.40	38250
verrückt	5.40	38126
neue	5.40	38119
ging	5.40	38051
hinter	5.40	37964
sorgen	5.40	37844
einzige	5.40	37724
jemanden	5.39	37451
darum	5.39	37424
tochter	5.39	37375
braucht	5.39	37187
idee	5.39	37181
schwester	5.39	37032
drin	5.39	36941
ruhig	5.39	36940
sah	5.39	36936
ganzen	5.39	36929
spät	5.39	36834
ziemlich	5.39	36820
solltest	5.38	36770
name	5.38	36668
sogar	5.38	36650
kurz	5.38	36629
kerl	5.38	36512
frauen	5.38	36457
liegt	5.38	36313
suchen	5.38	36294
finde	5.38	36286
je	5.38	36205
woher	5.38	36061
lang	5.38	36029
job	5.38	35995
keiner	5.37	35951
seinem	5.37	35907
hört	5.37	35796
verstehen	5.37	35693
spielen	5.37	35600
s.	5.37	35596
überhaupt	5.37	35566
teufel	5.37	35421
verstanden	5.37	35353
verloren	5.37	35282
große	5.37	35255
hand	5.37	35247
grund	5.37	35243
jahr	5.36	35092
kommst	5.36	34951
mama	5.36	34883
ruhe	5.36	34794
gewesen	5.36	34766
tod	5.36	34408
stunden	5.35	34244
hoffe	5.35	34207
denkst	5.35	34170
